Graha,Transit_Rashi_no,Gochara_Phala,Reference
Chandra,6,"Happiness, health, wealth",षट्‌प्रज्ञप्राप्तिमारोग्यं अर्थलाभं यशस्सुखं।स्त्रीसौख्यं धर्मसिद्धिश्च षष्टस्थे मृगलांछने
Chandra,7,"Respect, gains",मनःसौख्यं यशोवृद्धिः शतृहानिः धनागमः। स्त्रीसौख्यं देहसौख्यं च सप्तमस्थे यदा विदुः
Chandra,8,"Losses, tension, worries",अजीर्णामयसंतापं जानुभ्यां सत्वहानिकृत्। चौर्यपंचांगप्रश्नादि पीडास्यादष्टमे विदुः 
Chandra,9,Mental uneasiness,वस्त्रनाशं मित्रवैरं प्रवासं व्याधिपीडनं।उद्योगभंगं कलहं नवमस्ते निशाकरे
Chandra,10,"Success, gains, authority",इष्टसिद्धिसदारोग्यं संतोषं प्रियभोजनं।दशमस्थे यदा चंद्रे बंधमित्रसमागमः
Chandra,11,"Prosperity, comforts, gains",मनसौख्यं सदानंदं इष्टग्राससुभोजनं।धनधान्यादि लाभं च चंद्रस्यैकादशः फलं
Chandra,12,"Injuries, expenditure, sadness", सौख्यहानिं मनःक्लेशं।कष्टं भोजनमल्पशः।नित्यसंवाददारिद्र्यं द्वादशस्थे यदा विधुः
Kuja,1,"Troubles, bodily afflictions",ज्वरं खड्गव्रणंचैव भार्याबंधुविरोदकृत्।यक्षराक्षसपीडा च जन्मे भौमफलं भवेत्
Kuja,2,"Accidents, losses, thefts, quarrels",अधैर्यं सततं क्लेशं।संवादं सततं कृशं।सदा दुर्जन संसर्गः भीतिस्याद्धनगे कुजे
Kuja,3,"Gains, power, wealth",विजयं धनमारोग्यं इष्टसिद्धि स्तथा जयं।वस्त्रलाभादि सन्मानं तृतीयस्थानगे कुजे
Kuja,4,"Stomach problems, fevers, bad health",दैहालस्यं मनस्तापं स्वयं क्लेशं धनव्ययं।रोगपीडा च संचारं चतुर्थ स्थानके कुजे
Kuja,5,"Troubles from enemies, trouble with children",द्रव्याहानिं च दारिद्र्यं कालातिक्रमभोजनं।दुरितं कर्मलोपं च भौमे पंचम संस्थिते
Kuja,6,"Success over enemies, wealth, success, well-being",वस्त्रलाभं धान्यलाभं यशोवृद्धिः मनोजयं।वीद्याविनोदादि सौख्यं षष्ठस्थे च धरात्मजे
Kuja,7,"Quarrels, marital troubles, eye problems",अन्नवस्त्रादि राहित्यं सदावैरं स्वबंधुभिः। कळत्रपुत्रभ्रातृणां क्रोधं सप्तमगे कुजे
Kuja,8,"Worries, accidents, bad name, losses",गमनेकार्यहानिस्यात् प्रवासे रोगपीडनं।धान्यनाशं मनश्चेदं अष्टमस्थे धरासुते
Kuja,9,"Losses, insults, illness",अशनावादनं क्लेशं मूर्छितं चाक्षिपीडनं। पितापुत्रविरोधं च नवमस्थे धरासुते
Kuja,10,"Change of place, unexpected wealth",नित्यक्लेशं सदाव्याधिः।सदा भोजनदुर्लभं।सदासंचारं उद्योगं दशमस्ते धरासुते
Kuja,11,"Authority,  gains, good name",आरोग्यविजयं लाभं संतोषं वस्त्रलाभकृत्।यत्नकार्यादि सिद्धिश्चावैरस्यादायके कुजे
Kuja,12,"Expenses, quarrels with wife, diseases",प्रवासं दुरितं कुर्यात् बंधुवैरं धनव्ययं। रोगपीडा च संचारं द्वादशस्थानगे कुजे
Budha,1,"Quarrels, imprisonment, losses, poor advice",चित्तक्लेशं वातरोगं कालाति क्रमभोजनं।विवादं दुष्टसंसर्गं जन्मस्थानगते बुधॆ
Budha,2,"Success, wealth, gains",वणिक्‌मूलार्थलाभं कार्याचरणं सुखं। माधुर्यवस्तु भुक्तिस्याद्द्वितीयस्थे यदा बुधे
Budha,3,"Wandering, losses, trouble from authorities",अर्थहानिं राजकोपं ज्ञातिवैरं पदच्युतिं।बुद्धिजाढ्यं मनस्तापं तृतीये चंद्रनंदने
Budha,4,"Prosperity in family, gains",नित्यसौख्यं कलागोष्ठिः धनधान्यविवर्धनं।यथाप्रारंभकार्यस्य सिद्धिर्बंधु गते बुधे
Budha,5,"Quarrels with wife and children, suffering", सर्वांगमुष्णसंतापं व्ययं च सर्वदोषकृत्।आलस्यं कलहं चैव पंचमस्थे यधा बुधे
Budha,6,"Renown, success, ornaments",धान्यलाभं पुत्रलाभं धनलाभं यशोधृतिः।विद्याविनोदं धर्मं च षष्ठस्थानगते बुधः
Budha,7,"Quarrels, mental discomfort, addictions",दौर्भाग्यं अल्पयोगं च राजकोपं तथा करोत्।सर्वांगजाड्यः दुःखाप्तिः सप्तमे शशिनंदने
Budha,8,"Childbirth, happiness, gains, success",देहसौख्यं सुविद्याप्तिः सुकर्मपरिशुद्धि च।अरुचिं भोजने चैव रोगत्वंचाष्टमे बुधे
Budha,9,"Mental worries, obstacles",देहजाड्यं च दोषाप्तिः निस्सत्वं चाल्पभोजनं। अनृतं भयं मल्पार्थं नवमस्थे यदा बुधे
Budha,10,"Money, happiness, domestic harmony, success",आपादपोषणंनित्यं अन्नसौख्यं निरामयं।स्वबंधुजेन निष्ठूरं दशमस्थे यदा बुधे
Budha,11,"Childbirth, happiness, wealth",आरोग्यं मर्थलाभं च मनःप्रीति सुभोजनं॥बंधुप्रीतिः यशोवृद्धिः बुधश्चैकादशे पलं
Budha,12,"Disease, domestic disharmony, disease, losses", सौख्यहानिः मनःक्लेशः कष्टं भोजनमल्पशः।नित्यसंवाद दारिद्यं द्वादशस्थे यधा बुधे
Guru,1,"Loss of money and intelligence, Wandering", राजकोपं यशोहानिः बंधुमित्रविरोधकृत्।चित्तभ्रांतिर्भाग्यहानिः भयं जन्मगते गुरौ
Guru,2,"Happiness, domestic harmony, success",मनःसौख्यं यशोवृद्धिः सौभाग्यश्च धनागमः। धर्मसिद्धिः मनःसौख्यः द्वितीयस्थे यदा गुरुः
Guru,3,"Obstacles, loss of position, travels",अतिक्लेशं बंध्वारिष्टं दारिद्यं देहपीडनं।मानहानिं च संचारं तृतीयस्थे यदा गुरु
Guru,4,"Troubles, defeat, losses",योचनं बुद्धिचांच ल्यं तेजो हानिः सुखामयं।देशत्यागं च कलहं चतुर्थस्थानगे गुरुः
Guru,5,"Childbirth, intelligence, prosperity, wealth",राजसन्मानमैश्वर्यं स्वकर्मरतिमीप्सितं। सदा सज्जनसंगं च पंचमस्थे यदा गुरुः। 
Guru,6,"Mental uneasiness, enemies, worries",दारापुत्रविरोधं च स्वजनैः कलहं सदा।व्रणचोराग्निभीतिस्स्यात् गुरो षष्ठगते फलं
Guru,7,"Health, happiness, erotic pleasures, sense of well-being",राजदर्शनमारोग्यं गांभिर्यं देहपोषणं। अभीष्ठकार्यसिद्धिस्यात् सप्तमस्ते गुरोःफलं
Guru,8,"Disease, imprisonment, illness, grief",चोराग्निनृपभीतिः स्यात् सर्वदा क्लेशजीवनं।निष्ठूरं साहसं क्रोधं।अष्टमस्थे बृहस्पतिः
Guru,9,"Success, wealth, childbirth, religiousness",अर्थं च स्वकुलाचारं  गृहेनित्योत्सवं शुभं।नित्यं मधुरभुक्तिश्च  नवमस्थे यदा गुरुः
Guru,10,"Loss of position and money, ill-health, wandering",धान्यहानिः मतिभ्रंशः वृथा संचारकृद्भयः।स्वजनैर्दूषणं चैव दशमस्थे यदा गुरुः
Guru,11,"Recovery of health and position, happiness",यशोवृद्धिः बलं चैव सर्वत्रविजयं सुखं।शतृं च मित्रताप्नोति गुरौव्येकादशे गते।
Guru,12,"Fall from grace, misconduct, grief",स्थानभ्रंशं धनश्चेदः प्राणसं देहमापदं।वृथा संचारं च दैन्यं द्वादशस्थे यदा गुरुः
Surkra,1,"Comforts, pleasures, happiness, good spirits",अर्थलाभं महत्सौख्यं सुस्त्रीसंगममुत्तमं।नित्यं स्त्रीमूलकलाभं जन्मे शुक्रफलं लभेत्
Surkra,2,"Money, fortune, erotic pleasures, childbirth",नित्यलाभं शुभं सौख्यं प्रतिज्ञापरिपालनं।देहसौख्यं वस्त्रलाभं द्वितीये भृगुसंस्थिते
Surkra,3,"Respect, wealth, good spirits",स्त्रीसौख्यं मणिलाभं च धैर्यं तेजो यशो बलं।संगीतश्रवणं वित्तं भार्गवे च तृतीयके
Surkra,4,"Prosperity, success of enemies, comforts",सुबुद्धिं बंधुसन्मानं स्त्रीसंभाषण संभ्रमं।देवदर्शनयात्रादि विद्यागोष्ठी शुचौभृगौ
Surkra,5,"Fame, power, good name",दासीभृत्यादिभिर्लाभं नित्यमृष्टान्न भोजनं।धनधान्यं सुहृत्प्राप्तिः पंचमे भृगुनंदने
Surkra,6,"Loss of fame, bad name, quarrels",विरोधं शतृपीडा च ज्ञातिमूलाद्धनक्षयं।दारापुत्रामयं कुर्यात् षष्ठे च भृगुनंदने
Surkra,7,"Humiliation, disease, troubles",तापकोपं महाभीतिः सर्वदाक्लेश जीवनं।स्त्रीजाढ्यं मेहरोगादि भृगौ सप्तमगे यदि
Surkra,8,"Fears, mental worries, injuries, troubles from women",दुःखनाशं महासौख्यं बंधुमित्रसमागमं।राजसन्मानमर्थाप्तिः अष्टमे भृगुनंदने
Surkra,9,"Fortune, luxuries, marital happiness",वस्त्रलाभमरोगत्वं गुरुभक्तिस्स्वधर्मकृत्।चित्तशुद्धिमभीष्टार्थं नवमस्थे यदा भृगुः
Surkra,10,"Virtuous acts, troubles, unpleasant events, disgrace",व्याकुलश्चेद सुसत्वं  अर्थसिद्धिरिपुर्जयं।स्त्रीसौख्यं गानविद्या च दशमे भृगुनंदने 
Surkra,11,"Gains, happiness, prosperity, comforts",पुष्टिकांतिं शतकीर्तिं इष्टकार्यार्थ सिद्धिदं।क्षीरान्नभोजनं कुर्यात् शुक्रस्येकादशेफलं
Surkra,12,"New friends, money, pleasures, gains",शस्त्रपीडा चोरा बाधा अतिशोकमहद्भयं कृषिकार्यादि विघ्नं स्याद्द्वादशस्थे यदा भृगुः
Shani,1,"Fear of incarceration, worries, foreign trips",तेजोहानिः मतिभ्रंशः मनःपीडा भयं सदा।रोगार्ति बंधुवैरं च व्यसनं जन्मसूर्यजे
Shani,2,"Physical weakness, discomfort, wealth, unhappiness",मतिभ्रंशमतिक्लेशं सर्वकार्यविनाशकृत्।देहालस्यं मनस्तापं सूर्यपुत्रेद्वितीयके
Shani,3,"Wealth, health, happiness, all-round success",स्त्रीभोगं च मनःसौख्यं इष्टकार्यार्थसिद्धिकृत्।सन्मानप्राप्तिमारोग्यं सूर्यपुत्रेतृतीयके
Shani,4,"Stomach problems, wickedness, separation from family",शूलवातं धनश्चेदं भयं स्वस्थानहानिकृत्।मसूरिदेहपीडादि सूर्यपुत्रे चतुर्थके
Shani,5,"Separation from children, uneasiness, quarrels",कार्यहानिं मनस्तापं ज्ञातिराजकलहकृत्।हीनस्त्रीभोगसंतापं पंचमस्थे यदा शनौ
Shani,6,"Freedom from disease and enemies, success",धनधान्यादि वृद्धिं च संतोषमार्जवं तदा।स्त्रीसौख्यं गृहनिर्माणं कुर्याद्रिपुगते शनौ
Shani,7,"Wandering, quarrels with spouse, trouble from authorities",नानाकार्यविनाशं च देहव्यादि धनक्षयं। अर्थमूलद्वेष्ठिचिंता पीडार्ती सप्तमे शनौ
Shani,8,"Suffering, loss of status and balance, imprisonment",व्याधि पीडाप्रवासं च मनक्लेशासुखा व्ययं।अपमृत्युभयप्राप्तिः अष्टमस्थे यदा शनिः
Shani,9,"Diseases, suffering, loss of status",शोकरोगमहादुःखं क्वचिदर्थःक्वचित्सुखं।सदाव्याज्यं सुतक्लेशं नवमस्थे शनैश्चरे
Shani,10,"Loss of money, bad name, changes in career, laziness",व्याकुला शोक संतापं पापमुद्योगविघ्नकृत्।कृषिकार्यादि विघ्नं स्यात् दशमस्थे यदा शनौ
Shani,11,"Wealth, success, gains",आरोग्यमर्थलाभं च स्त्रीपुत्रसुखवर्धनं।एकादशे चित्तशुद्धिमभीष्टार्थं शनैश्चरे
Shani,12,"Grief, misery, losses, ill-health, frustration",मानहानिं च संचारं कृषिभोजन मल्पशः।नित्यसंवाद दारिद्र्यं द्वादशस्थेयदा शनौ
Rahu,1,"Fear of incarceration, worries, foreign trips",शतृवृद्धिर्महाभीतिः विवादं कुत्सितं स्त्रिया।स्त्रीमूलकं भवेद्दानिः।राहोर्जन्मगते फलं
Rahu,2,"Physical weakness, discomfort, wealth, unhappiness",सदाक्लेशं वृथावैरं संतापं शौर्यनाशकृत्।संचारं स्वजनैर्द्वेषं पापचिंता धनेतपः
Rahu,3,"Wealth, health, happiness, all-round success",अर्थलाभं मनसौख्यमिष्टसिद्धिः रिपुर्जयं।वस्त्रलाभादिसन्मानं तृतीयस्थानगे फणिः
Rahu,4,"Stomach problems, wickedness, separation from family", देहजाड्यं मनस्तापमुदरार्तिःप्रवासकृत्।बंधुमित्रसुहृद्वैरं चतुर्थे राहुसंस्थिते
Rahu,5,"Separation from children, uneasiness, quarrels",मनोजाढ्यंमहासौख्यमर्थहानिः नृपाद्भयं।दुर्व्याज्यं च शिरोरोगं पंचमस्थानगे फणिः
Rahu,6,"Freedom from disease and enemies, success",वस्त्रधान्यादि लाभं च यत्नकार्यार्थसिद्धिदं।नित्यमारोग्यसंतोषं षष्टे च फणिसंस्थिते
Rahu,7,"Wandering, quarrels with spouse, trouble from authorities",दारापीडा चोरबाधा दूरसंचारमार्तिदं।वारस्त्री योगसंतापं। सप्तमस्थे यदा फणिः
Rahu,8,"Suffering, loss of status and balance, imprisonment",कार्यनाशं मनस्तापं देहजाड्यमपाध्वनिः। जायापुत्रार्थहानिस्यात् अष्टमेच यदा फणिः
Rahu,9,"Diseases, suffering, loss of status",आपदं भेद दोषं च आर्तिदं दारापीडनं।अमात्याज्ञातिवैरं च नवमस्थेयदा फणिः
Rahu,10,"Loss of money, bad name, changes in career, laziness",व्यसनं भेददोषार्तिं दुरितं कार्यनाशनं।बुद्धिभ्रंशं विवादं च  दशमस्थेयदा फणिः
Rahu,11,"Wealth, success, gains",अर्थलाभमरोगत्वं जायापुत्रविवर्धनं।गतकार्यपलावाप्तिः राहोर्लाभगते फलं
Rahu,12,"Grief, misery, losses, ill-health, frustration",बंधुमित्रनृपद्वेषं शुभहानि मनोरुजं।प्रवासं वृत्तिहानिस्यात् द्वादशस्थेयदा पणिः
Ketu,1,"Fear of incarceration, worries, foreign trips",शतृवृद्धिर्महाभीतिः विवादं कुत्सितं स्त्रिया।स्त्रीमूलकं भवेद्दानिः।केतोर्जन्मगते फलं
Ketu,2,"Physical weakness, discomfort, wealth, unhappiness",सदाक्लेशं वृथावैरं संतापं शौर्यनाशकृत्।संचारं स्वजनैर्द्वेषं पापचिंता धनेतपः
Ketu,3,"Wealth, health, happiness, all-round success",अर्थलाभं मनसौख्यमिष्टसिद्धिः रिपुर्जयं।वस्त्रलाभादिसन्मानं तृतीयस्थानगे केतुः
Ketu,4,"Stomach problems, wickedness, separation from family", देहजाड्यं मनस्तापमुदरार्तिःप्रवासकृत्।बंधुमित्रसुहृद्वैरं चतुर्थे केतुसंस्थिते
Ketu,5,"Separation from children, uneasiness, quarrels",मनोजाढ्यंमहासौख्यमर्थहानिः नृपाद्भयं।दुर्व्याज्यं च शिरोरोगं पंचमस्थानगे केतुः
Ketu,6,"Freedom from disease and enemies, success",वस्त्रधान्यादि लाभं च यत्नकार्यार्थसिद्धिदं।नित्यमारोग्यसंतोषं षष्टे च केतुसंस्थिते
Ketu,7,"Wandering, quarrels with spouse, trouble from authorities",दारापीडा चोरबाधा दूरसंचारमार्तिदं।वारस्त्री योगसंतापं। सप्तमस्थे यदा केतुः
Ketu,8,"Suffering, loss of status and balance, imprisonment",कार्यनाशं मनस्तापं देहजाड्यमपाध्वनिः। जायापुत्रार्थहानिस्यात् अष्टमेच यदा केतुः
Ketu,9,"Diseases, suffering, loss of status",आपदं भेद दोषं च आर्तिदं दारापीडनं।अमात्याज्ञातिवैरं च नवमस्थेयदा केतुः
Ketu,10,"Loss of money, bad name, changes in career, laziness",व्यसनं भेददोषार्तिं दुरितं कार्यनाशनं।बुद्धिभ्रंशं विवादं च  दशमस्थेयदा केतुः
Ketu,11,"Wealth, success, gains",अर्थलाभमरोगत्वं जायापुत्रविवर्धनं।गतकार्यपलावाप्तिः केतोर्लाभगते फलं
Ketu,12,"Grief, misery, losses, ill-health, frustration",बंधुमित्रनृपद्वेषं शुभहानि मनोरुजं।प्रवासं वृत्तिहानिस्यात् द्वादशस्थेयदा केतुः
